,0
0,19
1,7
2,21
3,6
4,18
5,8
6,18
7,8
8,19
9,6
10,18
11,6
12,18
13,6
14,20
15,6
16,20
17,7
18,21
19,7
20,21
21,7
22,20
23,7
24,22
25,7
26,22
27,7
28,22
29,8
30,22
31,10
32,22
33,7
34,22
35,6
36,23
37,9
38,23
39,8
40,22
41,10
42,22
43,11
44,23
45,11
46,23
47,11
48,23
49,11
50,23
51,11
52,22
53,11
54,23
55,10
56,21
57,10
58,22
59,11
60,23
61,10
62,23
63,9
64,23
65,10
66,23
67,11
68,22
69,10
70,24
71,10
72,25
73,9
74,23
75,10
76,24
77,12
78,24
79,11
80,23
81,11
82,23
83,11
84,23
85,9
86,23
87,8
88,23
89,10
90,23
91,9
92,22
93,9
94,23
95,9
96,22
97,7
98,21
99,9
100,23
101,7
102,23
103,8
104,23
105,11
106,24
107,11
108,23
109,9
110,23
111,9
112,24
113,8
114,24
115,10
116,24
117,12
118,23
119,11
120,25
121,11
122,23
123,12
124,23
125,12
126,24
127,13
128,24
129,13
130,23
131,12
132,24
133,12
134,23
135,11
136,23
137,12
138,23
139,14
140,22
141,13
142,22
143,13
144,23
145,13
146,23
147,11
148,22
149,12
150,21
151,14
152,22
153,13
154,24
155,13
156,24
157,12
158,22
159,11
160,24
161,11
162,24
163,10
164,24
165,11
166,25
167,14
168,25
169,12
170,23
171,11
172,24
173,15
174,24
175,15
176,22
177,13
178,23
179,12
180,23
181,12
182,22
183,13
184,23
185,12
186,22
187,13
188,23
189,15
190,22
191,12
192,22
193,12
194,21
195,14
196,21
197,13
198,22
199,14
200,23
201,16
202,23
203,14
204,22
205,15
206,23
207,17
208,22
209,16
210,21
211,15
212,22
213,17
214,21
215,16
216,23
217,17
218,23
219,17
220,23
221,16
222,21
223,16
224,22
225,17
226,21
227,17
228,19
229,18
230,22
231,16
232,20
233,16
234,18
235,16
236,19
237,14
238,19
239,16
240,19
241,16
242,17
243,13
244,17
245,13
246,18
247,14
248,17
249,14
250,17
251,14
252,17
253,14
254,18
255,13
256,18
257,13
258,19
259,13
260,21
261,14
262,22
263,14
264,21
265,12
266,20
267,14
268,20
269,16
270,19
271,15
272,20
273,15
274,20
275,16
276,19
277,14
278,20
279,14
280,21
281,15
282,20
283,14
284,19
285,14
286,18
287,13
288,19
289,12
290,18
291,12
292,17
293,11
294,20
295,13
296,16
297,13
298,17
299,11
300,19
301,12
302,17
303,14
304,20
305,13
306,17
307,15
308,17
309,15
310,16
311,15
312,16
313,15
314,17
315,13
316,16
317,15
318,14
319,17
320,15
321,14
322,17
323,15
324,16
325,17
326,14
327,13
328,15
329,14
330,15
331,15
332,14
333,13
334,14
335,14
336,12
337,14
338,13
339,13
340,13
341,13
342,12
343,12
344,15
345,11
346,12
347,12
348,13
349,12
350,13
351,12
352,11
353,11
354,14
355,10
356,12
357,10
358,11
359,9
360,12
361,8
362,9
363,10
364,9
365,9
366,11
367,9
368,9
369,11
370,9
371,10
372,9
373,8
374,10
375,9
376,10
377,8
378,11
379,6
380,10
381,9
382,12
383,7
384,13
385,7
386,9
387,3
388,13
389,1
390,11
391,1
392,10
393,2
394,9
395,1
396,9
397,2
398,10
399,3
400,9
401,4
402,7
403,3
404,6
405,0
406,9
407,1
408,6
409,4
410,6
411,1
412,9
413,0
414,7
415,3
416,10
417,1
418,8
419,3
420,8
421,4
422,12
423,-1
424,12
425,2
426,11
427,4
428,13
429,0
430,11
431,2
432,12
433,2
434,14
435,0
436,11
437,3
438,12
439,3
440,12
441,0
442,11
443,0
444,14
445,0
446,13
447,0
448,9
449,3
450,11
451,0
452,11
453,2
454,9
455,3
456,12
457,0
458,12
459,1
460,12
461,1
462,12
463,0
464,10
465,0
466,15
467,-1
468,12
469,-1
470,9
471,0
472,15
473,-3
474,13
475,-1
476,14
477,0
478,14
479,-7
480,14
481,-3
482,14
483,-2
484,12
485,-5
486,12
487,-2
488,13
489,-3
490,13
491,-5
492,12
493,-2
494,11
495,-1
496,13
497,-2
498,12
499,-1
500,11
501,-2
502,8
503,-2
504,9
505,-1
506,9
507,-3
508,5
509,-1
510,3
511,-3
512,0
513,-7
514,-3
515,-6
516,-5
517,-7
518,-10
519,-14
520,-15
521,-16
522,-19
523,-21
524,-24
525,-25
526,-31
527,-27
528,-37
529,-36
530,-45
531,-41
532,-54
533,-44
534,-62
535,-54
536,-68
537,-60
538,-75
539,-66
540,-82
541,-73
542,-90
543,-79
544,-98
545,-83
546,-98
547,-91
548,-103
549,-95
550,-107
551,-98
552,-106
553,-104
554,-109
555,-105
556,-108
557,-107
558,-105
559,-106
560,-101
561,-103
562,-97
563,-104
564,-92
565,-100
566,-87
567,-93
568,-78
569,-90
570,-70
571,-86
572,-63
573,-77
574,-53
575,-74
576,-47
577,-67
578,-36
579,-55
580,-25
581,-49
582,-15
583,-38
584,-1
585,-29
586,10
587,-21
588,27
589,-9
590,42
591,2
592,57
593,17
594,71
595,30
596,84
597,37
598,96
599,53
600,109
601,66
602,122
603,74
604,125
605,88
606,128
607,99
608,133
609,104
610,130
611,111
612,127
613,112
614,122
615,110
616,113
617,113
618,107
619,109
620,98
621,104
622,89
623,102
624,84
625,91
626,81
627,86
628,80
629,83
630,82
631,76
632,88
633,74
634,95
635,74
636,107
637,73
638,124
639,77
640,139
641,84
642,155
643,91
644,172
645,104
646,188
647,113
648,202
649,124
650,210
651,138
652,214
653,143
654,220
655,154
656,219
657,164
658,216
659,170
660,216
661,176
662,208
663,182
664,204
665,186
666,197
667,191
668,193
669,193
670,194
671,194
672,189
673,203
674,184
675,205
676,184
677,205
678,178
679,211
680,171
681,200
682,164
683,192
684,150
685,187
686,138
687,174
688,125
689,161
690,105
691,147
692,89
693,130
694,69
695,112
696,47
697,93
698,28
699,73
700,6
701,56
702,-14
703,34
704,-26
705,18
706,-41
707,8
708,-55
709,-8
710,-60
711,-16
712,-69
713,-17
714,-72
715,-29
716,-72
717,-34
718,-73
719,-31
720,-67
721,-35
722,-65
723,-33
724,-59
725,-31
726,-52
727,-34
728,-50
729,-31
730,-46
731,-31
732,-43
733,-33
734,-45
735,-37
736,-51
737,-42
738,-57
739,-46
740,-69
741,-50
742,-86
743,-61
744,-106
745,-75
746,-133
747,-84
748,-160
749,-102
750,-188
751,-117
752,-221
753,-136
754,-252
755,-160
756,-281
757,-176
758,-314
759,-197
760,-341
761,-217
762,-365
763,-228
764,-389
765,-245
766,-405
767,-259
768,-423
769,-261
770,-435
771,-268
772,-440
773,-275
774,-447
775,-273
776,-449
777,-278
778,-449
779,-277
780,-450
781,-277
782,-445
783,-284
784,-435
785,-286
786,-428
787,-293
788,-409
789,-303
790,-394
791,-309
792,-374
793,-321
794,-344
795,-334
796,-319
797,-340
798,-287
799,-350
800,-251
801,-354
802,-218
803,-349
804,-180
805,-350
806,-144
807,-340
808,-116
809,-323
810,-79
811,-310
812,-49
813,-287
814,-25
815,-262
816,10
817,-243
818,34
819,-210
820,52
821,-185
822,75
823,-165
824,91
825,-134
826,107
827,-109
828,116
829,-92
830,119
831,-70
832,128
833,-54
834,130
835,-38
836,132
837,-20
838,138
839,-4
840,141
841,18
842,151
843,41
844,167
845,55
846,185
847,80
848,210
849,107
850,243
851,132
852,281
853,163
854,326
855,193
856,372
857,229
858,419
859,262
860,465
861,295
862,512
863,327
864,550
865,356
866,584
867,380
868,614
869,401
870,633
871,423
872,648
873,431
874,657
875,441
876,655
877,444
878,659
879,439
880,657
881,438
882,649
883,431
884,642
885,420
886,631
887,418
888,618
889,415
890,610
891,411
892,594
893,414
894,581
895,413
896,566
897,411
898,542
899,416
900,520
901,410
902,494
903,408
904,462
905,406
906,432
907,394
908,400
909,386
910,366
911,378
912,332
913,358
914,297
915,341
916,260
917,323
918,225
919,296
920,192
921,276
922,155
923,248
924,119
925,225
926,79
927,206
928,45
929,177
930,14
931,157
932,-21
933,138
934,-51
935,116
936,-79
937,105
938,-105
939,91
940,-125
941,74
942,-146
943,66
944,-167
945,52
946,-182
947,40
948,-196
949,38
950,-212
951,23
952,-221
953,11
954,-238
955,4
956,-257
957,-20
958,-277
959,-40
960,-311
961,-58
962,-343
963,-87
964,-377
965,-116
966,-421
967,-143
968,-461
969,-177
970,-500
971,-206
972,-543
973,-239
974,-581
975,-269
976,-614
977,-287
978,-642
979,-306
980,-662
981,-314
982,-682
983,-312
984,-689
985,-312
986,-688
987,-304
988,-695
989,-291
990,-690
991,-280
992,-679
993,-262
994,-674
995,-242
996,-662
997,-234
998,-650
999,-222
1000,-637
1001,-212
1002,-619
1003,-219
1004,-606
